City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Tiksi,RU,71.69,128.87,26.82,95,7,26.51,clear sky
338,Sibolga,ID,1.74,98.78,76.8,84,99,4.0,overcast clouds
339,Shar,KZ,49.59,81.05,29.77,92,0,9.17,clear sky
340,Oistins,BB,13.07,-59.53,75.2,94,75,13.87,shower rain
341,Belmonte,BR,-15.86,-38.88,84.2,58,40,18.34,scattered clouds
342,Rajakhera,IN,26.9,78.17,73.4,69,5,1.12,clear sky
343,Cap Malheureux,MU,-19.98,57.61,73.0,82,0,1.99,clear sky
344,Bako,ET,5.78,36.57,67.84,72,77,4.72,broken clouds
345,Pilar,BR,-9.6,-35.96,84.2,66,40,10.29,scattered clouds
346,Mayumba,GA,-3.43,10.66,77.27,86,99,8.75,overcast clouds
347,Lewistown,US,40.6,-77.57,69.01,55,1,13.87,clear sky
348,Sopelana,ES,43.38,-2.98,68.0,82,20,9.17,few clouds
349,Ponta Delgada,PT,37.73,-25.67,69.8,77,75,10.29,broken clouds
350,Sosua,DO,19.77,-70.52,91.4,63,40,17.22,scattered clouds
351,Takoradi,GH,4.88,-1.76,78.1,86,97,11.83,overcast clouds
352,Naze,JP,28.37,129.48,75.2,73,75,21.92,broken clouds
353,Parsabad,IR,39.65,47.92,57.2,93,90,6.93,overcast clouds
354,Necochea,AR,-38.55,-58.74,70.0,50,90,11.01,overcast clouds
355,Moerai,PF,-22.43,-151.33,69.26,67,8,15.5,clear sky
356,Porto Novo,BJ,6.5,2.6,79.05,83,98,7.61,overcast clouds
357,Ust-Uda,RU,54.17,103.03,33.1,91,47,12.39,scattered clouds
358,Dunhua,CN,43.37,128.24,35.51,83,2,4.7,clear sky
359,Mount Isa,AU,-20.73,139.5,75.2,53,75,4.7,broken clouds
